Codes,Names,Lone parent household (%),BAME (%),English as first language (%),Social rented (%),Private rented (%),% Highest level of qualification: Level 2 qualifications,Unemployment rate,Median Household Income (£)
E01000907,Camden 001A,21.1,26.5,88.5,54.4,13.7,9.1,9.9,30223
E01000908,Camden 001B,13.2,27.6,91.1,52.6,14,10.1,8.0,32049
E01000909,Camden 001C,7.3,15.9,95.3,18.6,18.8,8.3,4.9,58469
E01000912,Camden 001D,15.7,22.7,92.3,51.3,15,9.4,8.8,31551
E01000913,Camden 001E,3.7,11.8,97.4,1.9,19.4,9.6,2.1,73024
E01000893,Camden 002A,5.7,11.9,92,4.5,34.1,7.1,3.6,64138
E01000894,Camden 002B,2.9,15.8,90.8,4.2,35.5,6.5,3.6,72739
E01000895,Camden 002C,6.1,20.2,86.4,24.1,37,6.0,3.0,53603
E01000896,Camden 002D,2.5,15.2,90.3,4.1,35.1,6.6,3.9,70351
E01000899,Camden 002E,4.6,12.9,93.6,1.7,24.5,8.7,2.5,76166
E01000910,Camden 003A,5.6,15.8,96.3,16.5,21.4,8.8,3.9,64961
E01000911,Camden 003B,14,22,90.6,39.7,15.8,7.9,6.4,37176
E01000921,Camden 003C,7.5,23.6,87.2,21,48.8,7.8,4.8,35597
E01000923,Camden 003D,10.4,20.9,94.2,33.8,17.7,8.3,7.1,45322
E01000928,Camden 003E,12.9,25.5,89.6,37.1,19.6,8.1,5.7,35656
E01000878,Camden 004A,8,31.5,86.5,11.3,29.3,7.5,4.5,56251
E01000879,Camden 004B,5.5,19.6,87.2,8.3,40,8.3,4.5,64715
E01000880,Camden 004C,5.5,24.2,81.3,5.3,41.7,7.6,3.3,69876
E01000884,Camden 004D,5.7,20.1,86.5,4.2,30.8,8.8,3.4,71430
E01000885,Camden 004E,5.9,24.3,87.7,8.4,27.4,8.4,3.1,78339
E01000871,Camden 005A,6.5,29.7,87.5,14.4,26.7,7.1,6.5,50050
E01000872,Camden 005B,7.6,33.1,76.7,14.8,58.6,7.3,5.5,32194
E01000873,Camden 005C,8.5,18.7,89.4,13.8,33.4,6.9,4.2,54005
E01000874,Camden 005D,5,24.4,85.9,3,38.8,6.5,3.6,57465
E01000877,Camden 005E,5,20.9,83.2,9.8,46.8,7.4,5.2,54472
E01000886,Camden 006A,9.4,17.2,92.9,17.7,25.7,7.8,4.4,50302
E01000887,Camden 006B,8.8,22.9,89.3,19.1,35.5,5.9,5.8,44663
