OBJECTID,USRN,ROADDESC,DOMAIN_,WARD,LOCALITY,IDCODE,TYPEDESC,LOCATION,CONDITION,MATERIALLA,HEIGHT,MANUFACTUR,CROSSSECTI,MATERIAL,CATTYPE,MODEL,COLOUR,NBOFLANTER,X,Y,NUMPOINTS
"1","21900059",ABBESS CLOSE,LB - Lambeth,L1 - Thurlow Park,THURLOW PARK,1408-45,SL - Street Lighting,Adjacent/near opposite 0711,1 - Good,(DW1) Edinburgh Decorative Tubular Steel,"10",DW Windsor,TN - Tubular Standard,S1 - Steel,CD - Decorative,ED -Edinburgh,BLACK - Unspecified,"1",531477.812500000000000,173211.250000000000000,0
"2","21900059",ABBESS CLOSE,LB - Lambeth,L1 - Thurlow Park,THURLOW PARK,C1408-FB02,SB - Belisha Beacon,Opposite saund,1 - Good,(CU1) Belisha Beacon Tubular Steel,"4",CU Phosco,TN - Tubular Standard,S1 - Steel,BB - Belisha Beacon,NULL,BLACK - Unspecified,"1",531457.289199999999255,173246.065000000002328,0
"3","21900060",ABBEVILLE MEWS,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X27,SL - Street Lighting,Outside 88,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529720.000000000000000,175063.765600000013364,0
"4","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X19,SL - Street Lighting,Junction with abbeville road,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529783.375000000000000,174999.453100000013364,0
"5","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,0344-X20,SL - Street Lighting,Junction with abbeville road,1 - Good,(ST1) Standard Tubular Steel,"10",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529767.437500000000000,175000.593800000002375,0
"6","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-01,SL - Street Lighting,Junction with trouville road,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529190.675500000012107,174245.710800000000745,0
"7","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-02,SL - Street Lighting,Outside 2,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529209.125499999965541,174245.932099999976344,0
"8","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-03,SL - Street Lighting,Outside 4,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529219.797000000020489,174264.214500000001863,0
"9","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-04,SL - Street Lighting,Junction with gower close,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529225.991900000022724,174290.185200000007171,0
"10","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-05,SL - Street Lighting,Opposite 5,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529250.962500000023283,174312.927599999995437,0
"11","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-06,SL - Street Lighting,Opposite boneville gds,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529258.831499999971129,174343.331300000019837,0
"12","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-07,SL - Street Lighting,Outside 17,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529284.701699999975972,174367.987900000007357,0
"13","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-08,SL - Street Lighting,Opposite 24,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529288.635000000009313,174389.833899999997811,0
"14","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-09,SL - Street Lighting,Opposite 33,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529311.468600000021979,174409.986700000008568,0
"15","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-10,SL - Street Lighting,Outside 37,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529315.738999999943189,174433.409199999994598,0
"16","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-11,SL - Street Lighting,Outside 36,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529336.885299999965355,174452.661400000011781,0
"17","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-12,SL - Street Lighting,Opposite 53,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529345.656799999997020,174470.227099999989150,0
"18","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-13,SL - Street Lighting,Outside 57,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529352.177000000025146,174494.887799999996787,0
"19","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-14,SL - Street Lighting,Outside 56,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529374.560900000040419,174513.689399999973830,0
"20","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-15,SL - Street Lighting,Outside 56,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529380.630499999970198,174541.390699999989010,0
"21","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-16,SL - Street Lighting,Outside 79,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529392.776799999992363,174559.969200000021374,0
"22","21900061",ABBEVILLE ROAD,LB - Lambeth,L1 - Clapham Common,CLAPHAM COMMON,C0061-17,SL - Street Lighting,Junction with elms court,1 - Good,(ST1) Standard Tubular Steel,"8",Valmont Stainton,TN - Tubular Standard,S1 - Steel,CS - Standard,NULL,BLACK - Unspecified,"1",529407.847199999960139,174583.952499999984866,0
